"group","names","scores","logfoldchanges","pvals","pvals_adj"
"Adipo-MSC","PLEKHS1",5.93357582203131,5.93357582203131,0,0
"Adipo-MSC","GALNT17",5.59105132563158,5.59105132563158,0,0
"Adipo-MSC","CCBE1",5.5505286615587,5.5505286615587,0,0
"Adipo-MSC","AL034417.2",5.35465144867483,5.35465144867483,0,0
"Adipo-MSC","CBLN2",5.18914090351414,5.18914090351414,0,0
"Adipo-MSC","C8orf34",5.06744302584804,5.06744302584804,0,0
"Adipo-MSC","GRIK1",5.05363061816748,5.05363061816748,0,0
"Adipo-MSC","ADAMTSL3",4.91049774792865,4.91049774792865,0,0
"Adipo-MSC","LINC02518",4.89586422016665,4.89586422016665,0,0
"Adipo-MSC","AC093801.1",4.86136853304631,4.86136853304631,0,0
"Adipo-MSC","AC008056.1",4.85531789849099,4.85531789849099,0,0
"Adipo-MSC","NRXN3",4.76477878766748,4.76477878766748,0,0
"Adipo-MSC","ESM1",4.71007908338765,4.71007908338765,0,0
"Adipo-MSC","FO393415.1",4.67586619280912,4.67586619280912,0,0
"Adipo-MSC","AC004870.4",4.63813588000025,4.63813588000025,0,0
"Adipo-MSC","ENOX1",4.63365987377129,4.63365987377129,0,0
"Adipo-MSC","EPB41L4B",4.58002572760011,4.58002572760011,0,0
"Adipo-MSC","TMEM132C",4.56162100254913,4.56162100254913,0,0
"Adipo-MSC","LPL",4.53461856507654,4.53461856507654,0,0
"Adipo-MSC","PCSK6",4.49633635208813,4.49633635208813,0,0
"Adipo-MSC","LINC01091",4.43779119680852,4.43779119680852,0,0
"Adipo-MSC","SLC7A10",4.39031117552483,4.39031117552483,0,0
"Adipo-MSC","TDO2",4.38514339687351,4.38514339687351,0,0
"Adipo-MSC","SH3GL3",4.38137014387641,4.38137014387641,0,0
"Adipo-MSC","VEGFC",4.3715632884561,4.3715632884561,0,0
"Adipo-MSC","PAPPA",4.2491985989283,4.2491985989283,0,0
"Adipo-MSC","AL691420.1",4.24240817718602,4.24240817718602,0,0
"Adipo-MSC","CHL1-AS1",4.22551762878278,4.22551762878278,0,0
"Adipo-MSC","TRABD2B",4.19292721578576,4.19292721578576,0,0
"Adipo-MSC","C6",4.19237288521595,4.19237288521595,0,0
"Adipo-MSC","AC002546.1",4.18875517211297,4.18875517211297,0,0
"Adipo-MSC","AL137024.1",4.18447499049818,4.18447499049818,0,0
"Adipo-MSC","EBF3",4.17417487243141,4.17417487243141,0,0
"Adipo-MSC","CP",4.16797322037933,4.16797322037933,0,0
"Adipo-MSC","NECAB1",4.11952602442945,4.11952602442945,0,0
"Adipo-MSC","VGLL3",4.11048895678371,4.11048895678371,0,0
"Adipo-MSC","NAV2",4.08919571386722,4.08919571386722,0,0
"Adipo-MSC","ANGPT1",4.0764435956719,4.0764435956719,0,0
"Adipo-MSC","LINC00640",4.06860519769333,4.06860519769333,0,0
"Adipo-MSC","RSPO1",4.00541646836351,4.00541646836351,0,0
"Adipo-MSC","LVRN",4.00266850742757,4.00266850742757,0,0
"Adipo-MSC","AC022915.2",4.00237648663196,4.00237648663196,0,0
"Adipo-MSC","TMEM108-AS1",3.99177504237538,3.99177504237538,0,0
"Adipo-MSC","GPR88",3.97412255139365,3.97412255139365,0,0
"Adipo-MSC","P3H2",3.96249534612378,3.96249534612378,0,0
"Adipo-MSC","TRHDE",3.95983034171875,3.95983034171875,0,0
"Adipo-MSC","APOB",3.9478479117595,3.9478479117595,0,0
"Adipo-MSC","ADIPOQ",3.93946269733984,3.93946269733984,0,0
"Adipo-MSC","VCAM1",3.93293326092543,3.93293326092543,0,0
"Adipo-MSC","CNTFR",3.92667154563117,3.92667154563117,0,0
"AEC","AC008514.1",8.11035428578552,8.11035428578552,0,0
"AEC","SSUH2",7.99118170964884,7.99118170964884,0,0
"AEC","SEMA3G",7.67647138731543,7.67647138731543,0,0
"AEC","LINC00639",7.21148596312612,7.21148596312612,0,0
"AEC","PI16",6.73653275899244,6.73653275899244,0,0
"AEC","LINC01695",6.64492110876948,6.64492110876948,0,0
"AEC","ACE",6.56507811712797,6.56507811712797,0,0
"AEC","EDN1",6.46283913315974,6.46283913315974,0,0
"AEC","GJA5",6.41274439185615,6.41274439185615,0,0
"AEC","JAG2",6.31112280562763,6.31112280562763,0,0
"AEC","CLDN5",6.29284361902809,6.29284361902809,0,0
"AEC","ADRA2C",6.06700609167771,6.06700609167771,0,0
"AEC","HEY1",5.79822731043813,5.79822731043813,0,0
"AEC","SOX17",5.68301588861503,5.68301588861503,0,0
"AEC","AL392023.2",5.6366103511487,5.6366103511487,0,0
"AEC","PODXL",5.45397841308292,5.45397841308292,0,0
"AEC","ABLIM3",5.43041475687049,5.43041475687049,0,0
"AEC","TBX3",5.39292561123606,5.39292561123606,0,0
"AEC","LINC02185",5.3545954139598,5.3545954139598,0,0
"AEC","FAM107A",5.35041428039237,5.35041428039237,0,0
"AEC","C19orf33",5.3165672446963,5.3165672446963,0,0
"AEC","HIF3A",5.31289638531848,5.31289638531848,0,0
"AEC","PLLP",5.30847059037806,5.30847059037806,0,0
"AEC","SOX18",5.26345356449188,5.26345356449188,0,0
"AEC","SLC9A3R2",5.23352227699787,5.23352227699787,0,0
"AEC","HSPA12B",5.19318445091072,5.19318445091072,0,0
"AEC","PSORS1C1",5.17641897492731,5.17641897492731,0,0
"AEC","TMC7",5.15204655727857,5.15204655727857,0,0
"AEC","MECOM",5.12443267640195,5.12443267640195,0,0
"AEC","TMEM178A",5.10743536493392,5.10743536493392,0,0
"AEC","TIE1",5.09685176520247,5.09685176520247,0,0
"AEC","AIF1L",5.06834577648404,5.06834577648404,0,0
"AEC","BTNL9",5.06400770893804,5.06400770893804,0,0
