Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,group,-log10_p
GO_Biological_Process_2021,regulation of cell migration (GO:0030334),10/408,5.546370354208554e-08,4.154231395302207e-05,0,0,12.28140703517588,205.19206270245337,CDH5;CLDN5;EDN1;ACE;PODXL;FAM107A;PDGFB;SEMA3G;CDH13;FGF2,AEC,7.255991134141689
GO_Biological_Process_2021,circulatory system development (GO:0072359),6/126,7.023936415473683e-07,0.00026304641875948945,0,0,22.53409090909091,319.2803928734677,CDH5;RAMP2;HEY1;SOX17;SOX18;PDGFB,AEC,6.153419428556098
GO_Biological_Process_2021,positive regulation of cell motility (GO:2000147),7/221,1.2202546441040247e-06,0.0003046569094779715,0,0,15.013257987394043,204.4272916805155,CDH5;EDN1;PODXL;FAM107A;PDGFB;SEMA3G;CDH13,AEC,5.9135495308093935
GO_Biological_Process_2021,heart looping (GO:0001947),4/43,3.968757264734964e-06,0.0005331042440148106,0,0,44.39464882943144,552.1388021294391,NDRG4;SOX17;SOX18;TBX3,AEC,5.401345462395402
GO_Biological_Process_2021,positive regulation of cell migration (GO:0030335),7/269,4.488356775821032e-06,0.0005331042440148106,0,0,12.232913190129594,150.63638535807164,CDH5;EDN1;PODXL;FAM107A;PDGFB;SEMA3G;CDH13,AEC,5.3479126286654575
GO_Biological_Process_2021,positive regulation of smooth muscle cell proliferation (GO:0048661),4/46,5.219023612482669e-06,0.0005331042440148106,0,0,41.21739130434783,501.3353830213611,EDN1;PDGFB;CDH13;FGF2,AEC,5.282410738257065
GO_Biological_Process_2021,determination of heart left/right asymmetry (GO:0061371),4/47,5.694037319250313e-06,0.0005331042440148106,0,0,40.25682507583418,486.145083590463,NDRG4;SOX17;SOX18;TBX3,AEC,5.244579690773299
GO_Biological_Process_2021,embryonic heart tube morphogenesis (GO:0003143),4/47,5.694037319250313e-06,0.0005331042440148106,0,0,40.25682507583418,486.145083590463,NDRG4;SOX17;SOX18;TBX3,AEC,5.244579690773299
GO_Biological_Process_2021,regulation of smooth muscle cell proliferation (GO:0048660),4/49,6.73900499395603e-06,0.0005608349711636741,0,0,38.46376811594203,458.01109871151647,EDN1;NDRG4;PDGFB;CDH13,AEC,5.171404221793197
GO_Biological_Process_2021,regulation of angiogenesis (GO:0045765),6/203,1.1124184064625287e-05,0.0007292206964811605,0,0,13.673050299953854,155.9601315647856,CDH5;CLDN5;RAMP2;NPR1;TIE1;FGF2,AEC,4.953731833760617
GO_Biological_Process_2021,blood vessel morphogenesis (GO:0048514),4/56,1.153281738315398e-05,0.0007292206964811605,0,0,33.274247491638796,378.3386388039555,RAMP2;SOX17;SOX18;GJA5,AEC,4.938064584770356
GO_Biological_Process_2021,embryonic heart tube development (GO:0035050),3/18,1.1683108621861051e-05,0.0007292206964811605,0,0,84.82978723404256,963.4429809213964,NDRG4;SOX17;SOX18,AEC,4.932441585503229
GO_Biological_Process_2021,regulation of smooth muscle cell migration (GO:0014910),3/20,1.626462332560456e-05,0.000870157347919844,0,0,74.84230287859825,825.2500115945311,NDRG4;ACE;PDGFB,AEC,4.7887559901445425
GO_Biological_Process_2021,cardiac ventricle development (GO:0003231),3/20,1.626462332560456e-05,0.000870157347919844,0,0,74.84230287859825,825.2500115945311,DLL4;HEY1;GJA5,AEC,4.7887559901445425
GO_Biological_Process_2021,cell-cell junction assembly (GO:0007043),4/66,2.2218375806853115e-05,0.0010400977174583,0,0,27.893408134642357,298.86645620028213,CDH5;CLDN5;RAMP2;GJA5,AEC,4.653287691745406
GO_Biological_Process_2021,embryonic organ development (GO:0048568),4/66,2.2218375806853115e-05,0.0010400977174583,0,0,27.893408134642357,298.86645620028213,NDRG4;HEY1;SOX17;SOX18,AEC,4.653287691745406
GO_Biological_Process_2021,blood vessel endothelial cell migration (GO:0043534),3/23,2.5134148576039852e-05,0.0011073810166737,0,0,63.6063829787234,673.6732113483868,CDH5;SOX18;FGF2,AEC,4.59973582199312
GO_Biological_Process_2021,positive regulation of macromolecule metabolic process (GO:0010604),7/384,4.4668105427337386e-05,0.0018586894980597,0,0,8.45173030658195,84.654650750135,DLL4;CDH5;CLDN5;RAMP2;HEY1;PDGFB;FGF2,AEC,4.350002467494628
GO_Biological_Process_2021,heart development (GO:0007507),5/164,5.48427106106235e-05,0.0021619573814398,0,0,13.830188679245284,135.68855199901313,NDRG4;RAMP2;SOX17;SOX18;PDGFB,AEC,4.260881088270851
GO_Biological_Process_2021,cardiac endothelial cell differentiation (GO:0003348),2/5,6.0956786529959696e-05,0.0021741253862352,0,0,277.0416666666667,2688.78505476905,SOX17;SOX18,AEC,4.214977935846465
GO_Biological_Process_2021,endocardial cell differentiation (GO:0060956),2/5,6.0956786529959696e-05,0.0021741253862352,0,0,277.0416666666667,2688.78505476905,SOX17;SOX18,AEC,4.214977935846465
GO_Biological_Process_2021,aortic valve morphogenesis (GO:0003180),3/32,6.928645627860575e-05,0.0023588888978488,0,0,43.84666177549523,419.9309284926422,DLL4;HEY1;TIE1,AEC,4.159351650500962
GO_Biological_Process_2021,vasculogenesis (GO:0001570),3/33,7.608112255540456e-05,0.0024775982953912,0,0,42.38297872340426,401.9478954622147,RAMP2;SOX17;SOX18,AEC,4.118723088131352
GO_Biological_Process_2021,regulation of endothelial cell proliferation (GO:0001936),4/92,8.212184135698631e-05,0.002532431985739,0,0,19.626482213438734,184.6323345485555,TIE1;PDGFB;CDH13;FGF2,AEC,4.085541321330028
GO_Biological_Process_2021,blood vessel diameter maintenance (GO:0097746),3/35,9.094610315590577e-05,0.002532431985739,0,0,39.73005319148936,369.69781921167737,EDN1;ACE;NPR1,AEC,4.041215904782398
GO_Biological_Process_2021,positive regulation of endothelial cell development (GO:1901552),2/6,9.128927051395768e-05,0.002532431985739,0,0,207.77083333333337,1932.5756890799971,CDH5;CLDN5,AEC,4.039580263324499
GO_Biological_Process_2021,positive regulation of establishment of endothelial barrier (GO:1903142),2/6,9.128927051395768e-05,0.002532431985739,0,0,207.77083333333337,1932.5756890799971,CDH5;CLDN5,AEC,4.039580263324499
GO_Biological_Process_2021,aortic valve development (GO:0003176),3/36,9.903955378900077e-05,0.0026493080638557,0,0,38.524177949709866,355.1925837792589,DLL4;HEY1;TIE1,AEC,4.004191324981987
GO_Biological_Process_2021,positive regulation of vasculature development (GO:1904018),4/102,0.0001226260480091412,0.0029866602224231,0,0,17.614906832298136,158.64638771191477,CDH5;RAMP2;TIE1;FGF2,AEC,3.9114172679492665
GO_Biological_Process_2021,endothelial cell migration (GO:0043542),3/39,0.00012610069935787855,0.0029866602224231,0,0,35.308510638297875,317.0149830122188,CDH5;SOX18;CDH13,AEC,3.899282504811333
GO_Biological_Process_2021,dorsal aorta development (GO:0035907),2/7,0.00012760097078443218,0.0029866602224231,0,0,166.20833333333334,1490.3240703269437,DLL4;HEY1,AEC,3.8941460215026447
GO_Biological_Process_2021,dorsal aorta morphogenesis (GO:0035912),2/7,0.00012760097078443218,0.0029866602224231,0,0,166.20833333333334,1490.3240703269437,DLL4;HEY1,AEC,3.8941460215026447
GO_Biological_Process_2021,positive regulation of cell population proliferation (GO:0008284),7/474,0.0001662278374910961,0.0036350684102745,0,0,6.7915442458044915,59.10104487886197,DLL4;CLDN5;EDN1;PDGFB;CDH13;FGF2;TBX3,AEC,3.7792962449537546
GO_Biological_Process_2021,cardiac atrium development (GO:0003230),2/8,0.0001698630098259154,0.0036350684102745,0,0,138.5,1202.2517804391236,DLL4;GJA5,AEC,3.7699011848597213
GO_Biological_Process_2021,lymphatic endothelial cell differentiation (GO:0060836),2/8,0.0001698630098259154,0.0036350684102745,0,0,138.5,1202.2517804391236,SOX18;TIE1,AEC,3.7699011848597213
GO_Biological_Process_2021,branching morphogenesis of an epithelial tube (GO:0048754),3/44,0.0001811421903351466,0.00372913733059,0,0,30.994810586403737,267.0583626754283,DLL4;TIE1;FGF2,AEC,3.74198038515947
GO_Biological_Process_2021,positive regulation of gene expression (GO:0010628),7/482,0.0001842163968382279,0.00372913733059,0,0,6.674418604651163,57.39599148842437,DLL4;CDH5;CLDN5;RAMP2;HEY1;PDGFB;FGF2,AEC,3.734671716487508
GO_Biological_Process_2021,positive regulation of chemotaxis (GO:0050921),3/45,0.00019374001249454243,0.003818717614695,0,0,30.25531914893617,258.65252491347,PDGFB;CDH13;FGF2,AEC,3.7127806765909845
GO_Biological_Process_2021,positive regulation of angiogenesis (GO:0045766),4/116,0.0002013774170245257,0.0038674791115735,0,0,15.402173913043478,131.07757831135987,CDH5;RAMP2;TIE1;FGF2,AEC,3.6959892339390095
GO_Biological_Process_2021,adherens junction organization (GO:0034332),3/49,0.0002497855682645102,0.0046772347657529,0,0,27.618871415356153,229.09599013803128,CDH5;RAMP2;CDH13,AEC,3.6024326572514935
GO_Biological_Process_2021,blood circulation (GO:0008015),3/51,0.00028134681783249164,0.005095345400131,0,0,26.465425531914892,216.37926602740956,DLL4;ACE;NPR1,AEC,3.550757992561188
GO_Biological_Process_2021,regulation of gene expression (GO:0010468),10/1079,0.00028572030281108973,0.005095345400131,0,0,4.415575304022451,36.03328985126125,BTNL9;DLL4;CDH5;CLDN5;RAMP2;HEY1;SOX17;SOX18;PDGFB;FGF2,AEC,3.544058898274796
GO_Biological_Process_2021,sprouting angiogenesis (GO:0002040),3/52,0.0002980479544608097,0.0051915794858406,0,0,25.924012158054712,210.4577714820763,RAMP2;CDH13;FGF2,AEC,3.5257138544398763
GO_Biological_Process_2021,bicellular tight junction assembly (GO:0070830),3/53,0.000315376219123607,0.0052492619583018,0,0,25.404255319148938,204.80261014345277,CDH5;CLDN5;RAMP2,AEC,3.501171057655084
GO_Biological_Process_2021,heart morphogenesis (GO:0003007),3/53,0.000315376219123607,0.0052492619583018,0,0,25.404255319148938,204.80261014345277,HEY1;SOX17;TBX3,AEC,3.501171057655084
GO_Biological_Process_2021,Notch signaling involved in heart development (GO:0061314),2/11,0.000332063883264561,0.0054068662731555,0,0,92.31944444444444,739.4956618223716,DLL4;HEY1,AEC,3.478778357620151
GO_Biological_Process_2021,tight junction assembly (GO:0120192),3/56,0.0003712232496723555,0.0059158768937147,0,0,23.962665596146127,189.274072690484,CDH5;CLDN5;RAMP2,AEC,3.430364831784506
GO_Biological_Process_2021,negative regulation of vascular permeability (GO:0043116),2/12,0.0003978405023918531,0.0062079695060728,0,0,83.08333333333333,650.4975835514635,CLDN5;RAMP2,AEC,3.4002910053496507
GO_Biological_Process_2021,apical junction assembly (GO:0043297),3/60,0.000455062391672894,0.0067615193431048,0,0,22.27659574468085,171.42009780807578,CDH5;CLDN5;RAMP2,AEC,3.3419290549876433
GO_Biological_Process_2021,Notch signaling pathway (GO:0007219),3/60,0.000455062391672894,0.0067615193431048,0,0,22.27659574468085,171.42009780807578,DLL4;JAG2;HEY1,AEC,3.3419290549876433
GO_Biological_Process_2021,regulation of tube diameter (GO:0035296),2/13,0.00046942457388711873,0.0067615193431048,0,0,75.52651515151516,578.8354329773197,ACE;NPR1,AEC,3.3284341792789096
GO_Biological_Process_2021,vascular process in circulatory system (GO:0003018),2/13,0.00046942457388711873,0.0067615193431048,0,0,75.52651515151516,578.8354329773197,ACE;NPR1,AEC,3.3284341792789096
GO_Biological_Process_2021,endothelial cell differentiation (GO:0045446),2/14,0.0005467878206419364,0.0077272467483171,0,0,69.22916666666667,520.0114050756229,SOX18;TIE1,AEC,3.2621811676355046
GO_Biological_Process_2021,regulation of cell population proliferation (GO:0042127),8/764,0.0005660791215212328,0.0078517270744333,0,0,4.835978835978836,36.15753387701381,DLL4;JAG2;CLDN5;EDN1;PDGFB;CDH13;FGF2;TBX3,AEC,3.2471228627365543
GO_Biological_Process_2021,positive regulation of MAPK cascade (GO:0043410),5/274,0.0005957168046908393,0.0081125797584261,0,0,8.129285419248244,60.36600188662742,EDN1;NDRG4;PDGFB;ADRA2C;FGF2,AEC,3.2249601486311157
GO_Biological_Process_2021,positive regulation of MAP kinase activity (GO:0043406),3/69,0.0006858216610371124,0.0091728647163713,0,0,19.230174081237912,140.08975927188362,EDN1;PDGFB;FGF2,AEC,3.163788802218554
GO_Biological_Process_2021,regulation of systemic arterial blood pressure by hormone (GO:0001990),2/16,0.0007187392304892979,0.0092816497178704,0,0,59.333333333333336,429.45537567816734,EDN1;ACE,AEC,3.14342864967499
GO_Biological_Process_2021,regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis (GO:1903587),2/16,0.0007187392304892979,0.0092816497178704,0,0,59.333333333333336,429.45537567816734,DLL4;FGF2,AEC,3.14342864967499
GO_Biological_Process_2021,pulmonary valve morphogenesis (GO:0003184),2/17,0.0008132713373134499,0.0095178161194964,0,0,55.375,393.96243373102385,HEY1;GJA5,AEC,3.089764533572175
GO_Biological_Process_2021,positive regulation of cardiac muscle tissue growth (GO:0055023),2/17,0.0008132713373134499,0.0095178161194964,0,0,55.375,393.96243373102385,EDN1;FGF2,AEC,3.089764533572175
GO_Biological_Process_2021,aorta morphogenesis (GO:0035909),2/17,0.0008132713373134499,0.0095178161194964,0,0,55.375,393.96243373102385,DLL4;HEY1,AEC,3.089764533572175
GO_Biological_Process_2021,cell surface receptor signaling pathway involved in heart development (GO:0061311),2/17,0.0008132713373134499,0.0095178161194964,0,0,55.375,393.96243373102385,DLL4;HEY1,AEC,3.089764533572175
GO_Biological_Process_2021,regulation of establishment of endothelial barrier (GO:1903140),2/17,0.0008132713373134499,0.0095178161194964,0,0,55.375,393.96243373102385,CDH5;CLDN5,AEC,3.089764533572175
GO_Biological_Process_2021,vasculature development (GO:0001944),2/17,0.0008132713373134499,0.0095178161194964,0,0,55.375,393.96243373102385,CDH5;SOX18,AEC,3.089764533572175
GO_Biological_Process_2021,positive regulation of endothelial cell proliferation (GO:0001938),3/77,0.0009441676964961806,0.0108797169950098,0,0,17.14433582518689,119.41384383677423,PDGFB;CDH13;FGF2,AEC,3.024950862487107
GO_Biological_Process_2021,heart trabecula morphogenesis (GO:0061384),2/19,0.0010193089566942,0.0115676122509696,0,0,48.85539215686274,336.54673838088314,DLL4;HEY1,AEC,2.9916941596143727
GO_Biological_Process_2021,cardiac epithelial to mesenchymal transition (GO:0060317),2/20,0.0011307590059983,0.0122997946075725,0,0,46.138888888888886,313.0461870363529,HEY1;TBX3,AEC,2.9466299446036754
GO_Biological_Process_2021,mesoderm development (GO:0007498),2/20,0.0011307590059983,0.0122997946075725,0,0,46.138888888888886,313.0461870363529,TIE1;TBX3,AEC,2.9466299446036754
GO_Biological_Process_2021,cell-cell junction organization (GO:0045216),3/82,0.0011330918930874,0.0122997946075725,0,0,16.055211419337464,108.89937140961504,CDH5;CLDN5;CDH13,AEC,2.9457348676807733
