mouse_group,human_group,similarity_jaccard
0,Macrophages,0.002898371978293044
0,RNAlo MSC,0.002836529567737559
0,MPP,0.0026510480887792847
1,Macrophages,0.002898371978293044
1,RNAlo MSC,0.002836529567737559
1,MPP,0.0026510480887792847
10,Macrophages,0.002898371978293044
10,RNAlo MSC,0.002836529567737559
10,MPP,0.0026510480887792847
11,Macrophages,0.002898371978293044
11,RNAlo MSC,0.002836529567737559
11,MPP,0.0026510480887792847
12,Macrophages,0.002898371978293044
12,RNAlo MSC,0.002836529567737559
12,MPP,0.0026510480887792847
13,Macrophages,0.002898371978293044
13,RNAlo MSC,0.002836529567737559
13,MPP,0.0026510480887792847
14,Macrophages,0.002898371978293044
14,RNAlo MSC,0.002836529567737559
14,MPP,0.0026510480887792847
2,Macrophages,0.002898371978293044
2,RNAlo MSC,0.002836529567737559
2,MPP,0.0026510480887792847
3,Macrophages,0.002898371978293044
3,RNAlo MSC,0.002836529567737559
3,MPP,0.0026510480887792847
4,Macrophages,0.002898371978293044
4,RNAlo MSC,0.002836529567737559
4,MPP,0.0026510480887792847
5,Macrophages,0.002898371978293044
5,RNAlo MSC,0.002836529567737559
5,MPP,0.0026510480887792847
6,Macrophages,0.002898371978293044
6,RNAlo MSC,0.002836529567737559
6,MPP,0.0026510480887792847
7,Macrophages,0.002898371978293044
7,RNAlo MSC,0.002836529567737559
7,MPP,0.0026510480887792847
8,Macrophages,0.002898371978293044
8,RNAlo MSC,0.002836529567737559
8,MPP,0.0026510480887792847
9,Macrophages,0.002898371978293044
9,RNAlo MSC,0.002836529567737559
9,MPP,0.0026510480887792847
