Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,group,-log10_p
GO_Biological_Process_2021,cellular response to cytokine stimulus (GO:0071345),15/482,1.677080453206393e-08,1.2176471375517768e-05,0,0,7.343368182390729,131.4729196310978,EGR1;FOXC1;VCAM1;CSF1;IL34;FOS;ZFP36L1;GHR;SOCS3;ZFP36;COL1A2;CXCL12;LEPR;GAS6;JUNB,0,7.775446102840848
GO_Biological_Process_2021,post-translational protein modification (GO:0043687),13/345,1.7621521527522094e-08,1.2176471375517768e-05,0,0,8.80709043068827,157.2430684139113,CSF1;IGFBP5;IGFBP4;TNC;CHRDL1;CP;FSTL1;CST3;SOCS3;SPP1;IGFBP7;APOE;GAS6,0,7.75395659521579
GO_Biological_Process_2021,regulation of epithelial cell apoptotic process (GO:1904035),4/10,1.2072170882080686e-07,5.5490705072119754e-05,0,0,138.15277777777777,2200.743061756685,ZFP36;MDK;NUPR1;ZFP36L1,0,6.918214625732512
GO_Biological_Process_2021,cellular protein metabolic process (GO:0044267),13/417,1.6060985549093996e-07,5.5490705072119754e-05,0,0,7.210879708660522,112.80907652054576,CSF1;IGFBP5;IGFBP4;TNC;CHRDL1;CP;FSTL1;CST3;PAPPA;SPP1;IGFBP7;APOE;GAS6,0,6.794227808658791
GO_Biological_Process_2021,positive regulation of leukocyte chemotaxis (GO:0002690),6/54,2.855683560400491e-07,7.893109360946956e-05,0,0,26.398936170212767,397.7998778233708,CXCL12;CSF1;MDK;IL34;RARRES2;GAS6,0,6.544289918599599
GO_Biological_Process_2021,positive regulation of macrophage chemotaxis (GO:0010759),4/14,5.666707862160507e-07,0.00013052317109176368,0,0,82.875,1192.031512125974,CSF1;MDK;IL34;RARRES2,0,6.246669176121867
GO_Biological_Process_2021,positive regulation of cell differentiation (GO:0045597),10/258,6.701670158055763e-07,0.00013231011654904378,0,0,8.804659498207885,125.16474033890306,SLC6A6;ZFP36;GJA1;FOXC1;RGCC;CSF1;MDK;RARRES2;LPL;ZFP36L1,0,6.173816951024982
GO_Biological_Process_2021,regulation of vascular associated smooth muscle cell proliferation (GO:1904705),5/37,1.0845345753341953e-06,0.00018735334788898224,0,0,32.67763157894737,448.8063438255882,GJA1;JUN;IGFBP5;ADIPOQ;TPM1,0,5.964756597972063
GO_Biological_Process_2021,positive regulation of smooth muscle cell migration (GO:0014911),4/17,1.331899620230903e-06,0.00020452058612878976,0,0,63.74038461538461,862.3375666219024,PDGFRB;NRP1;IGFBP5;MDK,0,5.875528504912366
GO_Biological_Process_2021,positive regulation of macrophage migration (GO:1905523),4/19,2.15250350312219e-06,0.00026458597980409557,0,0,55.236111111111114,720.769328837962,CSF1;MDK;IL34;RARRES2,0,5.667056133075052
GO_Biological_Process_2021,regulation of keratinocyte apoptotic process (GO:1902172),3/6,2.399296778057216e-06,0.00026458597980409557,0,0,205.1237113402062,2654.3695150710146,SFRP4;ZFP36;ZFP36L1,0,5.61991602918895
GO_Biological_Process_2021,extracellular matrix organization (GO:0030198),10/300,2.6126832935938364e-06,0.00026458597980409557,0,0,7.513409961685824,96.5858827098886,VCAM1;COL1A2;SPARC;TNC;SPP1;SERPINH1;BGN;CYP1B1;GAS6;FBLN5,0,5.58291323175017
GO_Biological_Process_2021,regulation of granulocyte chemotaxis (GO:0071622),4/20,2.680321068927162e-06,0.00026458597980409557,0,0,51.78125,664.3313770708211,CSF1;MDK;IL34;RARRES2,0,5.571813179810184
