mouse_gene,human_gene
mt-Nd1,MT-ND1
mt-Nd2,MT-ND2
mt-Co1,MT-CO1
mt-Co2,MT-CO2
mt-Atp8,MT-ATP8
mt-Atp6,MT-ATP6
mt-Co3,MT-CO3
mt-Nd3,MT-ND3
mt-Nd4l,MT-ND4L
mt-Nd4,MT-ND4
mt-Nd5,MT-ND5
mt-Nd6,MT-ND6
mt-Cytb,MT-CYB
Gm22279,U6
Gm54642,U6
Gm54867,5_8S_rRNA
Gm55073,5_8S_rRNA
Tekt4,MAFIP
Gm23788,U2
Gm25115,U1
Gm22305,RNU6-303P
Hsfy2,HSFY2
Hsfy2,HSFY1
Tgif2lx1,TGIF2LY
Tgif2lx2,TGIF2LY
Cdyl,CDY2A
Cdyl,CDY2B
Sry,SRY
Tmsb4x,TMSB4Y
Tbl1x,TBL1Y
Gm22281,RNU6-1314P
Gm26020,RNU2-57P
Pcdh11x,PCDH11Y
Cdyl,CDY1B
Cdyl,CDY1
Rbmyf9,RBMY1B
Rbmyf8,RBMY1B
Rbmyf4,RBMY1B
Rbmyf5,RBMY1B
Rbmyf7,RBMY1B
Rbmyf2,RBMY1B
Rbmyf6,RBMY1B
Rbmyf3,RBMY1B
Rbmy,RBMY1B
Rbmyf1,RBMY1B
Rbmyf9,RBMY1A1
Rbmyf8,RBMY1A1
Rbmyf4,RBMY1A1
Rbmyf5,RBMY1A1
Rbmyf7,RBMY1A1
Rbmyf2,RBMY1A1
Rbmyf6,RBMY1A1
Rbmyf3,RBMY1A1
Rbmy,RBMY1A1
Rbmyf1,RBMY1A1
Rbmyf9,RBMY1D
Rbmyf8,RBMY1D
Rbmyf4,RBMY1D
Rbmyf5,RBMY1D
Rbmyf7,RBMY1D
Rbmyf2,RBMY1D
Rbmyf6,RBMY1D
Rbmyf3,RBMY1D
Rbmy,RBMY1D
Rbmyf1,RBMY1D
Rbmyf9,RBMY1E
Rbmyf8,RBMY1E
Rbmyf4,RBMY1E
Rbmyf5,RBMY1E
Rbmyf7,RBMY1E
Rbmyf2,RBMY1E
Rbmyf6,RBMY1E
Rbmyf3,RBMY1E
Rbmy,RBMY1E
Rbmyf1,RBMY1E
Rbmyf9,RBMY1F
Rbmyf8,RBMY1F
Rbmyf4,RBMY1F
Rbmyf5,RBMY1F
Rbmyf7,RBMY1F
Rbmyf2,RBMY1F
Rbmyf6,RBMY1F
Rbmyf3,RBMY1F
Rbmy,RBMY1F
Rbmyf1,RBMY1F
Rbmyf9,RBMY1J
Rbmyf8,RBMY1J
Rbmyf4,RBMY1J
Rbmyf5,RBMY1J
Rbmyf7,RBMY1J
Rbmyf2,RBMY1J
Rbmyf6,RBMY1J
Rbmyf3,RBMY1J
Rbmy,RBMY1J
Rbmyf1,RBMY1J
Nlgn4l,NLGN4Y
Ddx3y,DDX3Y
Usp9y,USP9Y
Uty,UTY
Kdm5d,KDM5D
Eif1ad14,EIF1AY
Eif1ad18,EIF1AY
Eif1ad17,EIF1AY
Eif1ad8,EIF1AY
Eif1ad16,EIF1AY
Eif1a,EIF1AY
Eif1ad6,EIF1AY
Eif1ad13,EIF1AY
Eif1ad11,EIF1AY
Eif1ad7,EIF1AY
Eif1ad19,EIF1AY
Eif1ad3,EIF1AY
Eif1ad12,EIF1AY
Eif1ad2,EIF1AY
Eif1ad15,EIF1AY
Eif1ad4,EIF1AY
Eif1ad10,EIF1AY
Tmprss15,TMPRSS15
Ighv1-18,IGHV1OR21-1
Ighv1-78,IGHV1OR21-1
Ighv15-2,IGHV1OR21-1
Ighv1-22,IGHV1OR21-1
Ighv1-39,IGHV1OR21-1
Ighv1-76,IGHV1OR21-1
Ighv1-72,IGHV1OR21-1
Ighv1-64,IGHV1OR21-1
Ighv1-34,IGHV1OR21-1
Ighv1-67,IGHV1OR21-1
Ighv1-80,IGHV1OR21-1
Ighv1-77,IGHV1OR21-1
Ighv1-26,IGHV1OR21-1
Ighv1-53,IGHV1OR21-1
Ighv1-5,IGHV1OR21-1
Ighv1-9,IGHV1OR21-1
Ighv14-4,IGHV1OR21-1
Ighv1-62-1,IGHV1OR21-1
Ighv1-4,IGHV1OR21-1
Ighv1-63,IGHV1OR21-1
Ighv1-19,IGHV1OR21-1
Ighv1-82,IGHV1OR21-1
Ighv1-71,IGHV1OR21-1
Ighv1-49,IGHV1OR21-1
Ighv1-62-2,IGHV1OR21-1
Ighv1-55,IGHV1OR21-1
Ighv1-61,IGHV1OR21-1
Ighv1-24,IGHV1OR21-1
Ighv1-42,IGHV1OR21-1
Ighv1-52,IGHV1OR21-1
Ighv1-84,IGHV1OR21-1
Ighv1-31,IGHV1OR21-1
Ighv14-1,IGHV1OR21-1
Ighv1-11,IGHV1OR21-1
Ighv1-15,IGHV1OR21-1
Ighv1-69,IGHV1OR21-1
Ighv1-43,IGHV1OR21-1
Ighv1-56,IGHV1OR21-1
Ighv1-59,IGHV1OR21-1
Ighv1-37,IGHV1OR21-1
Ighv1-81,IGHV1OR21-1
Ighv1-20,IGHV1OR21-1
Ighv1-66,IGHV1OR21-1
Ighv1-75,IGHV1OR21-1
Ighv1-7,IGHV1OR21-1
Ighv1-62-3,IGHV1OR21-1
Ighv1-23,IGHV1OR21-1
Ighv1-36,IGHV1OR21-1
Ighv1-12,IGHV1OR21-1
Ighv14-3,IGHV1OR21-1
Ighv1-16,IGHV1OR21-1
Ighv1-47,IGHV1OR21-1
Ighv1-54,IGHV1OR21-1
Ighv1-85,IGHV1OR21-1
Ighv1-58,IGHV1OR21-1
Ighv1-74,IGHV1OR21-1
Ighv1-50,IGHV1OR21-1
Ighv14-2,IGHV1OR21-1
Cldn17,CLDN17
Krtap24-1,KRTAP24-1
Ncam2,NCAM2
Cldn8,CLDN8
Morc3,MORC3
Chodl,CHODL
Gm22942,SNORA70
Gm25578,RNU6-113P
Gm55389,RN7SKP147
Gm54881,RN7SKP147
Gm25052,RNU2-55P
Gm55339,RNU1-139P
Gm25147,U6
Cbr1b,CBR1
Cbr1,CBR1
Sim2,SIM2
Ripply3,RIPPLY3
Gm26008,RNU6-696P
Rrp1b,RRP1B
Agpat3,AGPAT3
Gm25578,RNU6-1150P
Tpte,TPTE
Gm22279,RNU6-954P
Gm54642,RNU6-954P
Pcp4,PCP4
Dscam,DSCAM
Ripk4,RIPK4
Tff2,TFF2
Tff1,TFF1
Ubash3a,UBASH3A
Dnmt3l,DNMT3L
Cfap410,CFAP410
Krtap5-26,KRTAP10-6
